Package received,time received,time send,package send,rssi,snr,freqError
1,10:41:53,10:39:27,1,-84,6.75,724
2,10:41:55,10:39:29,2,-82,6.5,724
3,10:42:09,10:39:43,1,-80,7.25,709
4,10:42:11,10:39:46,2,-82,7,709
5,10:42:14,10:39:48,3,-80,5.5,707
6,10:42:16,10:39:50,4,-80,6.25,711
7,10:42:18,10:39:52,5,-82,7.25,714
8,10:42:21,10:39:55,6,-83,7.5,716
9,10:42:24,10:39:58,1,-82,6.75,718
10,10:42:34,10:40:08,1,-87,7,711
11,10:42:36,10:40:10,2,-88,7,714
12,10:42:38,10:40:13,3,-91,5.5,714
13,10:42:41,10:40:15,4,-86,6.5,716
14,10:42:43,10:40:17,5,-93,5.75,718
15,10:42:45,10:40:20,6,-97,5.25,720
16,10:42:48,10:40:22,7,-93,6,718
17,10:42:50,10:40:24,8,-94,5.25,718
18,10:42:52,10:40:27,9,-85,7,714
19,10:42:55,10:40:29,10,-84,6,716
20,10:42:57,10:40:31,11,-91,5.5,718
21,10:42:59,10:40:34,12,-86,7,728
22,10:43:02,10:40:36,13,-82,7.25,735
23,10:43:04,10:40:38,14,-86,6.25,741
24,10:43:06,10:40:41,15,-90,6,743
25,10:43:09,10:40:43,16,-91,6.25,749
26,10:43:11,10:40:45,17,-87,6.5,751
27,10:43:13,10:40:48,18,-87,6.75,756
28,10:43:16,10:40:50,19,-101,1,760
29,10:43:18,10:40:52,20,-85,6.5,762
30,10:43:20,10:40:55,21,-80,5.75,768
31,10:43:23,10:40:57,22,-84,6.5,774
32,10:43:25,10:40:59,23,-98,5,779
33,10:43:27,10:41:01,24,-97,5.75,783
34,10:43:30,10:41:04,25,-91,6.75,787
35,10:43:32,10:41:06,26,-85,7.5,791
36,10:43:34,10:41:08,27,-88,5.5,797
37,10:43:37,10:41:11,28,-97,5.5,802
38,10:43:39,10:41:13,29,-90,5,808
39,10:43:41,10:41:15,30,-90,6.25,812
40,10:43:44,10:41:18,31,-85,6.75,816
,,,,,,
40,111,111,40,-87.6,6.18125,743.775
